,ノーブル　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3,4,4D,5,3N,5,37
1,Back,354,370,490,158,387,391,560,185,517,3412
2,REGULAR,332,333,469,141,362,368,547,164,500,3216
3,Ladies,284,306,401,123,330,311,429,129,408,2721
4,Champ,368,404,524,169,426,418,577,206,539,3631
5,Hdcp,16,4,12,18,2,8,10,14,6,­
