,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3N,4D,5,3,5,36
1,Back T.,306,393,332,382,160,376,481,190,494,3114
2,Reg.,295,390,321,367,155,362,467,185,494,3036
3,CHAMPION,318,395,332,382,160,376,481,190,503,3137
4,Hdcp,8,2,5,1,7,4,6,3,9,­
