,東播,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,4,4,4,3,5,4,36
1,Back T.,384,492,172,418,340,410,147,550,447,3360
2,Reg.,367,473,154,398,320,390,143,521,421,3187
3,Front,330,459,123,366,304,385,138,468,341,2914
4,Hdcp,2,5,8,4,7,1,9,6,3,­
