,清水,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3,4,4,5,3N,4,4,36
1,Black,380,538,195,319,328,561,172,426,378,3297
2,BLUE,370,522,182,312,319,554,163,405,373,3200
3,WHITE,343,503,177,298,308,533,158,385,359,3064
4,RED,328,428,117,296,303,429,154,309,301,2665
5,Hdcp,6,5,3,8,7,2,9,1,4,­
