,まゆみコース,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4,3,4,5,4,36
1,BACK,345,164,474,385,328,170,370,472,377,3085
2,FRONT,338,153,459,370,308,150,350,452,326,2906
3,LADIES,280,142,411,250,284,135,316,429,306,2553
4,Hdcp,1,2,3,4,5,6,7,8,9,­
