,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,5,3N,4D,4,3,4,36
1,Back,573,382,406,561,173,404,422,242,372,3535
2,Regular,515,368,357,532,154,375,399,183,352,3235
3,Front,492,349,336,525,136,351,362,168,325,3044
4,Gold,447,330,306,422,127,326,330,155,296,2739
5,Ladies,447,310,306,422,127,326,312,81,296,2627
6,Hdcp,6,9,13,2,18,11,4,15,12,­
