,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,4D,4,3,5,3N,4,36
1,Back,396,405,533,430,380,214,554,182,392,3486
2,Reg.,385,373,518,395,349,199,535,170,375,3299
3,Front,367,355,502,370,321,180,518,156,352,3121
4,Gold,340,316,481,337,282,161,484,140,337,2878
5,Ladies,340,316,481,337,282,162,484,141,337,2880
6,Hdcp,16,2,14,4,10,12,6,18,8,­
