,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4,4D,3,5,36
1,Back T.,348,402,480,196,340,359,343,187,541,3196
2,Reg.,336,389,466,178,317,344,329,176,520,3055
3,CHAMPION,348,454,508,216,363,422,370,215,605,3501
4,Hdcp,8,2,5,1,7,4,9,3,6,­
