,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4,4,4,4,5D,3,36
1,Back,487,172,347,360,346,360,396,510,214,3192
2,Reg.,452,160,328,333,336,320,385,480,161,2955
3,Gold/Ladie,402,118,298,285,327,306,300,394,133,2563
4,Hdcp,8,12,16,18,14,10,2,4,6,­
