,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,4,4,5,3N,4D,5,36
1,champion,441,457,193,382,426,535,221,439,525,3619
2,Back,404,432,177,339,385,500,186,413,510,3346
3,Reg.,382,395,168,309,352,483,159,397,481,3126
4,Ladies,331,372,119,289,340,466,146,357,444,2864
5,Hdcp,8,2,14,18,10,6,16,4,12,­
