,オールド　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,4,4,3N,5,3,4,5D,36
1,Back,490,190,362,386,150,510,185,340,520,3133
2,Regular,475,170,345,360,135,495,170,326,500,2976
3,Front,454,170,332,335,120,484,160,316,486,2857
4,Ladies,454,130,332,300,120,484,135,316,445,2716
5,Pink,454,130,332,300,105,450,135,316,445,2667
6,Hdcp,4,14,10,8,18,2,12,16,6,­
