,白鷺ゴルフクラブ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,5,3,4,4D,36
1,Back,506,384,163,384,444,555,197,417,399,3449
2,Reg.,482,380,129,341,421,531,168,398,369,3219
3,Ladies,403,302,92,306,305,456,122,306,347,2639
4,Hdcp,13,3,11,17,1,9,15,7,5,­
