,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,3,4,3N,5,5D,5D,36
1,BACK,395,185,395,158,306,155,501,533,573,3201
2,REGU,380,166,379,151,298,141,489,522,535,3061
3,FRONT,365,151,367,130,298,130,470,522,500,2933
4,LADIES,340,133,287,130,232,115,428,448,500,2613
5,Hdcp,16,8,14,10,6,18,12,4,2,­
