,ニュー　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,5,3,4D,4,36
1,Full Back,537,408,190,405,407,534,217,470,420,3588
2,Back,537,408,190,390,407,534,217,428,420,3531
3,Regular,521,387,173,376,395,515,170,405,402,3344
4,Front,500,361,155,360,370,495,144,380,370,3135
5,Ladies,472,361,155,340,348,410,117,350,353,2906
6,Pink,429,305,127,292,304,410,117,293,353,2630
7,Hdcp,3,11,17,13,1,7,15,9,5,­
