,ノーブル　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,3,4,3,4,3N,4,5,35
1,Back,515,450,161,407,173,362,151,335,494,3048
2,REGULAR,472,436,149,386,155,340,134,312,476,2860
3,Ladies,423,378,127,324,142,307,116,280,408,2505
4,Champ,540,468,183,436,185,384,166,348,515,3225
5,Hdcp,9,3,15,1,13,7,17,11,5,­
