,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,4,3N,4,4D,3,5,36
1,Back,390,420,545,415,165,360,325,176,540,3336
2,Regular,380,348,528,390,160,350,315,166,515,3152
3,Ladies,309,303,488,341,45,203,220,144,455,2508
4,Champion,400,430,575,468,168,390,350,187,570,3538
5,Hdcp,12,4,8,2,16,6,10,18,14,­
