,アウト,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,3N,4.0,4D,5.0,3.0,4.0,36
1,Back T.,528.0,371.0,339.0,134,405.0,376,516.0,220.0,427.0,3316
2,Reg T.,507.0,348.0,313.0,129,386.0,349,497.0,206.0,410.0,3145
3,Ladys T,410.0,278.0,245.0,118,294.0,321,394.0,143.0,326.0,2529
4,Hdcp,,,,,,,,,,­
