,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,5,4,3N,4,3,4,4,36
1,バック,393,475,576,280,178,327,200,350,378,3157
2,レギュラー,380,464,536,275,167,316,190,340,366,3034
3,フロント,365,455,504,270,95,302,170,330,360,2851
4,レディース,311,374,455,263,95,302,158,320,278,2556
5,Hdcp,1,9,3,15,17,13,11,5,7,­
