,長峰,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4,3,5,4,3,4,36
1,Back T.,410,350,595,410,209,477,420,165,406,3442
2,Reg.,390,325,580,395,170,465,380,145,396,3246
3,Front,385,314,570,304,155,435,370,140,386,3059
4,Ladies,210,314,505,284,146,405,350,125,362,2701
5,Hdcp,5,8,2,3,7,6,1,9,4,­
