,生石　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4D,5,3N,4,3,4,4,5,36
1,Back T.,465,356,495,175,383,214,351,354,600,3393
2,Reg.,454,330,481,168,363,198,341,344,578,3257
3,Front,440,325,475,160,353,178,335,320,568,3154
4,Ladies,273,313,414,155,307,172,243,307,500,2684
5,Hdcp,2,5,3,8,1,4,9,7,6,­
