,Blue,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,4,4,4,3,5,36
1,Champion,439,522,393,171,388,383,443,235,549,3523
2,Back,416,493,365,151,366,365,417,221,531,3325
3,Reg.,395,473,350,133,323,346,398,197,508,3123
4,Ladies,339,397,321,94,279,290,309,137,429,2595
5,Hdcp,3,9,15,17,5,13,1,7,11,­
