,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4,5D,4,3,36
1,BLACK,435,400,556,210,420,393,544,422,187,3567
2,GREEN,413,373,536,183,393,372,527,395,166,3358
3,BLUE,380,373,515,159,374,355,490,368,150,3164
4,GOLD,355,329,425,120,257,333,463,288,137,2707
5,RED,328,297,425,120,257,284,403,288,137,2539
6,WHITE,355,348,515,138,374,355,475,341,150,3051
7,Hdcp,6,14,2,18,4,8,12,10,16,­
