,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4D,5,4,3,4,5,36
1,BLACK,384,440,179,444,557,386,204,404,508,3506
2,GREEN,372,440,166,425,536,386,187,390,494,3396
3,BLUE,352,414,155,405,507,354,172,366,477,3202
4,GOLD,332,361,142,360,369,327,157,343,437,2828
5,RED,299,307,142,360,369,310,157,251,401,2596
6,WHITE,332,414,155,382,507,354,172,366,459,3141
7,Hdcp,13,3,17,5,1,7,15,9,11,­
