,Red,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4D,4,3,4,5,36
1,Champion,511,377,142,427,448,440,226,434,558,3563
2,Back,486,363,117,405,423,408,205,406,539,3352
3,Reg.,471,345,115,337,404,386,182,376,510,3126
4,Ladies,387,296,89,296,341,329,126,317,439,2620
5,Hdcp,12,6,18,14,8,2,16,4,10,­
