,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4D,5,4,3N,4,5,36
1,BLACK,415,178,436,456,527,388,197,399,539,3535
2,GREEN,394,168,421,434,514,367,166,376,517,3357
3,BLUE,371,157,410,406,485,346,152,346,495,3168
4,GOLD,354,147,381,370,443,325,139,282,395,2836
5,RED,340,121,368,333,402,286,139,282,395,2666
6,WHITE,354,157,396,383,485,346,152,346,495,3114
7,Hdcp,10,16,8,4,2,14,18,6,12,­
