,生石　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4,3N,4,5D,36
1,Back T.,390,300,485,200,350,380,145,445,550,3245
2,Reg.,380,280,475,175,340,360,130,435,510,3085
3,Front,370,275,465,165,330,340,125,420,500,2990
4,Ladies,272,245,452,129,304,279,120,392,457,2650
5,Hdcp,7,8,2,6,5,1,9,3,4,­
