,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4D,3,4,3N,5,5,4,36
1,Back,300,386,421,209,414,165,533,520,325,3273
2,Reg.,276,368,381,189,391,149,507,502,313,3076
3,Hdcp,15,9,3,7,1,17,5,11,13,­
