,東,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3N,4,4,3N,4,4,5D,4,36
1,Back T.,498,153,427,383,170,377,432,530,443,3413
2,Reg.,487,131,394,372,148,361,388,509,405,3195
3,Hdcp,7,6,2,8,9,5,3,4,1,­
