,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4D,4,4,3N,5,4,3,4D,36
1,Champion,560,431,418,365,202,544,461,211,447,3639
2,Member,542,398,368,355,190,531,440,142,423,3389
3,Front,513,369,368,344,190,508,396,142,400,3230
4,Gold,470,351,340,320,163,463,364,140,368,2979
5,Ladies,470,321,329,296,120,430,350,140,326,2782
6,Hdcp,10,16,4,14,8,2,6,18,12,­
