,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4D,5,4,3N,4,4D,36
1,Back T.,476,377,170,420,519,405,202,345,350,3264
2,Reg.,459,355,143,376,492,372,186,318,312,3013
3,Hdcp,6,7,8,2,3,1,5,4,9,­
