,南,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,5,4,3,4,4,36
1,Back,582,383,418,166,494,336,182,393,419,3373
2,Regular,551,352,401,151,462,331,164,373,394,3179
3,Front,512,353,358,145,460,317,145,345,351,2986
4,Ladies,477,305,326,124,368,314,134,327,327,2702
5,Hdcp,3,1,5,9,6,8,7,4,2,­
