,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,3N,4,5,5D,3,4,36
1,Back,478,183,306,153,319,521,558,174,398,3090
2,Regular,466,166,292,140,308,473,548,167,383,2943
3,Front,432,148,279,122,293,434,525,147,368,2748
4,Ladies,432,140,279,122,190,407,489,110,317,2486
5,Hdcp,6,7,5,9,4,3,1,8,2,­
