,家康　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,5,3N,4D,4,4,36
1,Back,495,410,180,415,520,195,440,385,395,3435
2,Regular,480,405,170,395,495,175,420,350,370,3260
3,GOLD,440,355,160,350,420,145,365,320,275,2830
4,Ladies,430,345,140,300,415,115,360,275,270,2650
5,Hdcp,17,5,11,1,9,15,3,13,7,­
