,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,4,3,5,4,4,4,36
1,Back T.,388,198,527,403,212,488,367,360,388,3331
2,Reg T.,361,176,475,379,196,472,340,334,370,3103
3,Ladies.T,321,141,429,332,168,443,298,271,290,2693
4,Hdcp,8,6,2,3,9,4,7,5,1,­
