,家康　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5D,3N,5,4,4,4,36
1,Back,415,365,165,535,175,495,365,350,356,3221
2,Regular,395,350,150,515,160,480,340,335,356,3081
3,GOLD,350,320,145,455,150,455,275,265,336,2751
4,Ladies,345,295,145,395,140,435,230,260,310,2555
5,Hdcp,4,16,14,2,10,12,6,18,8,­
