,東,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3N,4,5D,4,3N,4,4,4,36
1,Champion,510,200,478,572,410,160,340,425,463,3558
2,Regular,470,182,465,555,376,153,340,386,441,3368
3,Ladies,432,128,322,428,350,130,318,357,339,2804
4,Hdcp,8,3,1,2,5,7,9,6,4,­
