,竹千代　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,3N,5D,4,4,36
1,Back,370,425,185,525,415,175,500,365,380,3340
2,Regular,355,415,175,500,390,160,480,335,355,3165
3,GOLD,315,370,165,440,315,145,425,315,260,2750
4,Ladies,305,360,160,390,310,130,420,295,245,2615
5,Hdcp,11,5,15,1,9,17,3,13,7,­
