,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4D,3,5,4,4,36
1,Back T.,410,375,194,500,410,168,500,441,391,3389
2,Reg T.,393,356,173,483,388,152,481,406,370,3202
3,Ladies.T,325,327,151,435,315,116,430,368,317,2784
4,Hdcp,1,6,7,8,5,9,4,2,3,­
