,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,4,3,5,4,4,3,4,36
1,Champ,431,492,366,153,488,372,340,187,448,3277
2,Reg.,410,475,348,137,474,343,327,170,423,3107
3,LADIES,327,362,293,115,386,280,289,133,290,2475
4,Hdcp,6,4,12,16,2,10,14,18,8,­
