,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,4,4D,4,4,3N,5D,36
1,Champion,465,214,552,385,346,400,397,180,522,3461
2,Regular,403,182,535,385,346,400,375,173,522,3321
3,Ladies,348,129,468,327,324,365,324,124,462,2871
4,Hdcp,4,1,6,7,9,8,2,5,3,­
