,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,5,3N,4,4,4D,36
1,Back T.,350,410,543,163,478,181,310,314,317,3066
2,Reg T.,309,393,512,147,454,163,295,298,301,2872
3,Ladies.T,286,338,456,96,365,121,268,251,285,2466
4,Hdcp,6,3,4,9,1,2,5,8,7,­
