,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5,4,5,4,4,3,36
1,Back,364,382,175,490,348,623,389,388,215,3374
2,Regular,333,362,160,477,312,615,369,370,184,3182
3,Front,294,312,128,460,288,577,347,351,169,2926
4,Ladies,294,251,128,429,221,455,280,278,159,2495
5,Hdcp,7,5,9,4,8,1,2,3,6,­
