,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4,4,3N,4,4D,5,36
1,Back,419,198,533,396,384,190,338,445,603,3506
2,Regular,401,187,514,372,373,161,325,433,584,3350
3,Front,361,169,490,361,355,146,315,407,546,3150
4,Ladies,320,169,403,317,288,129,291,332,479,2728
5,Hdcp,4,7,3,5,6,8,9,1,2,­
