,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5,3,4,4,5,4D,36
1,Black,339,195,420,595,200,348,371,554,425,3447
2,Blue,312,173,399,585,179,324,360,508,394,3234
3,White,288,152,373,565,148,306,337,450,376,2995
4,Green,273,152,342,482,148,270,300,450,349,2766
5,Red,244,130,315,392,121,245,274,419,319,2459
6,Hdcp,10,8,12,2,4,16,18,14,6,­
