,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,4,3N,4,5D,36
1,Back,499,377,189,382,415,349,174,369,482,3236
2,Regular,482,358,178,368,379,338,164,355,470,3092
3,Front,461,334,144,350,347,303,134,330,453,2856
4,Ladies,417,246,130,314,322,303,124,294,406,2556
5,Hdcp,5,3,9,2,1,7,8,4,6,­
