,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,3N,4,4,5,4,36
1,BACK,400,408,219,529,192,408,398,531,393,3478
2,MEMBER,370,378,196,490,166,378,377,492,375,3222
3,REGULAR,358,353,169,463,151,370,358,463,353,3038
4,FRONT,324,329,135,444,135,323,324,432,318,2764
5,LADIES,296,308,120,411,114,272,292,411,294,2518
6,Hdcp,13,3,11,5,17,1,7,15,9,­
