,竹千代　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5D,3N,4,4,4,5,36
1,Back,415,350,175,535,160,410,360,365,490,3260
2,Regular,395,335,160,515,140,390,335,350,480,3100
3,GOLD,350,305,145,440,135,375,270,280,420,2720
4,Ladies,345,300,140,380,130,365,245,275,380,2560
5,Hdcp,6,14,16,2,18,8,4,10,12,­
