,東　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,5D,4,4,3N,4,36
1,BACK,495,387,183,350,518,421,382,177,399,3312
2,REGULAR,472,351,166,333,488,383,330,153,384,3060
3,FRONT,421,326,145,313,450,319,301,127,315,2717
4,LADIES,366,302,120,198,308,261,275,107,292,2229
5,Hdcp,6,10,14,8,2,4,12,18,16,­
