,IN,10,11,12,13,14,15,16,17,18,計
0,Par,3,4,4,5D,3,5,4,3N,4,35
1,Back,173,329,412,478,156,460,367,149,371,2895
2,REGULAR,173,289,378,424,145,423,309,146,338,2625
3,LADIES,152,253,327,355,116,410,277,119,306,2315
4,Hdcp,8,10,2,4,12,14,16,18,6,­
