,薄暮　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4,4,4,3N,5D,36
1,Back,415,490,172,411,434,383,445,186,554,3490
2,Regular,396,446,160,393,416,364,420,163,525,3283
3,Front,381,413,131,374,398,339,407,132,501,3076
4,Ladies,353,395,110,345,335,315,359,120,472,2804
5,Hdcp,11,17,15,5,7,9,1,13,3,­
