,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,4,4,3,5,4,36
1,Back,372,550,348,168,385,345,199,525,331,3223
2,Regular,358,528,332,152,372,328,188,502,317,3077
3,Front,342,511,311,126,349,317,177,478,304,2915
4,Ladies,342,465,311,126,325,317,177,461,304,2828
5,Hdcp,11,3,13,17,1,15,7,5,9,­
