,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4,4D,3,4,5D,36
1,Back,455,407,193,490,373,400,216,428,529,3491
2,Regular,439,377,169,476,351,376,178,410,510,3286
3,Front,421,350,144,418,329,356,151,391,492,3052
4,Hdcp,2,10,18,14,16,6,12,4,8,­
