,西,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3N,4,4,5D,3N,4,4,4,36
1,Champion,540,242,375,440,580,230,396,444,435,3682
2,Regular,490,205,345,400,535,190,376,413,413,3367
3,Ladies,484,162,315,288,469,132,311,350,346,2857
4,Hdcp,9,3,8,5,1,7,4,2,6,­
