,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,4D,4,5,3,4,36
1,BACK,335,521,147,427,433,361,512,218,336,3290
2,REGULAR,315,484,128,390,397,341,480,191,312,3038
3,FRONT,292,395,119,328,345,311,409,153,284,2636
4,LADIES,275,323,105,304,310,287,378,110,261,2353
5,Hdcp,15,5,17,3,1,9,7,11,13,­
