,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,4,4,3,5D,4,36
1,Back,423,161,371,479,350,408,155,500,376,3223
2,Regular,409,147,358,452,324,386,142,477,357,3052
3,Front,309,135,320,452,324,386,131,435,357,2849
4,Ladies,278,120,300,389,297,326,104,406,274,2494
5,Hdcp,1,9,6,4,7,3,8,5,2,­
