Unnamed: 0,コース１,コース１.1,コース１.2,コース１.3,コース2,コース2.1,コース2.2,コース2.3,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
阿寒カントリークラブ,まりも,ベント,バック,2013.08.30,丹頂,ベント,バック,2013.08.30,72,7102,80.9,149
阿寒カントリークラブ,まりも,ベント,レギュラー,2013.08.30,丹頂,ベント,レギュラー,2013.08.30,72,6560,77.9,142
阿寒カントリークラブ,まりも,ベント,フロント,2013.08.30,丹頂,ベント,フロント,2013.08.30,72,5997,74.8,136
阿寒カントリークラブ,まりも,ベント,ゴールド・レディース,2013.08.30,丹頂,ベント,ゴールド・レディース,2013.08.30,72,5511,72.1,131
阿寒カントリークラブ,丹頂,ベント,バック,2013.08.30,ピリカ,ベント,バック,2013.08.30,72,7045,83.1,152
阿寒カントリークラブ,丹頂,ベント,レギュラー,2013.08.30,ピリカ,ベント,レギュラー,2013.08.30,72,6336,79.1,147
阿寒カントリークラブ,丹頂,ベント,フロント,2013.08.30,ピリカ,ベント,フロント,2013.08.30,72,5826,76.3,142
阿寒カントリークラブ,丹頂,ベント,ゴールド・レディース,2013.08.30,ピリカ,ベント,ゴールド・レディース,2013.08.30,72,5327,73.5,137
阿寒カントリークラブ,ピリカ,ベント,バック,2013.08.30,まりも,ベント,バック,2013.08.30,72,7091,83.2,152
阿寒カントリークラブ,ピリカ,ベント,レギュラー,2013.08.30,まりも,ベント,レギュラー,2013.08.30,72,6336,79.0,145
阿寒カントリークラブ,ピリカ,ベント,フロント,2013.08.30,まりも,ベント,フロント,2013.08.30,72,5855,76.3,140
阿寒カントリークラブ,ピリカ,ベント,ゴールド・レディース,2013.08.30,まりも,ベント,ゴールド・レディース,2013.08.30,72,5612,75.0,138
旭川国際カントリークラブ,アウト,ベント,レギュラー,2012.05.18,イン,ベント,レギュラー,2012.05.18,72,6658,77.0,127
旭川国際カントリークラブ,アウト,ベント,フロント,2012.05.18,イン,ベント,フロント,2012.05.18,72,6455,76.0,125
旭川国際カントリークラブ,アウト,ベント,ゴールド,2012.05.18,イン,ベント,ゴールド,2012.05.18,72,5433,69.7,113
旭川国際カントリークラブ,アウト,ベント,レディース,2012.05.18,イン,ベント,レディース,2012.05.18,72,4826,67.3,111
旭川ゴルフ倶楽部,アウト,ベント,バック,2020.09.07,イン,ベント,バック,2020.09.07,70,6016,75.4,133
旭川ゴルフ倶楽部,アウト,ベント,レギュラー,2020.09.07,イン,ベント,レギュラー,2020.09.07,70,5723,73.8,130
旭川ゴルフ倶楽部,アウト,ベント,フロント,2020.09.07,イン,ベント,フロント,2020.09.07,70,5007,69.8,121
旭川ゴルフ倶楽部,アウト,ベント,レディース,2020.09.07,イン,ベント,レディース,2020.09.07,70,4336,66.1,113
旭川たかすゴルフクラブ,アウト,ベント,バック,2013.08.30,イン,ベント,バック,2013.08.30,72,6467,78.1,143
旭川たかすゴルフクラブ,アウト,ベント,レギュラー,2013.08.30,イン,ベント,レギュラー,2013.08.30,72,6095,76.0,139
旭川たかすゴルフクラブ,アウト,ベント,シルバー,2013.08.30,イン,ベント,シルバー,2013.08.30,72,5460,72.4,132
旭川たかすゴルフクラブ,アウト,ベント,レディース,2013.08.30,イン,ベント,レディース,2013.08.30,72,4956,69.7,125
旭川メモリアルカントリークラブ,アウト,ベント,バック,2016.08.27,イン,ベント,バック,2016.08.27,72,6741,79.3,144
旭川メモリアルカントリークラブ,アウト,ベント,レギュラー,2016.08.27,イン,ベント,レギュラー,2016.08.27,72,6240,76.5,138
旭川メモリアルカントリークラブ,アウト,ベント,フロント,2016.08.27,イン,ベント,フロント,2016.08.27,72,5831,74.5,133
旭川メモリアルカントリークラブ,アウト,ベント,レディース,2016.08.27,イン,ベント,レディース,2016.08.27,72,4936,69.5,122
安平ゴルフ倶楽部,アウト,ベント,レギュラー,2010.07.02,イン,ベント,レギュラー,2010.07.02,72,6196,75.0,129
安平ゴルフ倶楽部,アウト,ベント,フロント,2010.08.16,イン,ベント,フロント,2010.08.16,72,5613,71.6,120
石狩平原カントリークラブ,中,ベント,バック,2015.04.22,西,ベント,バック,2015.04.22,72,6291,76.0,137
石狩平原カントリークラブ,中,ベント,レギュラー,2015.04.22,西,ベント,レギュラー,2015.04.22,72,5807,73.8,133
石狩平原カントリークラブ,中,ベント,フロント,2015.04.22,西,ベント,フロント,2015.04.22,72,5410,71.1,127
石狩平原カントリークラブ,中,ベント,レディース,2015.04.22,西,ベント,レディース,2015.04.22,72,4800,67.7,120
