,オレンジ,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,4.0,5.0,3N,4.0,3.0,4.0,5D,36
1,Back T.,387.0,385.0,401.0,521.0,173,409.0,207.0,353.0,522,3358
2,Reg.,363.0,362.0,375.0,494.0,152,388.0,186.0,336.0,499,3155
3,Ladies,314.0,305.0,316.0,449.0,113,341.0,119.0,297.0,430,2684
4,Hdcp,,,,,,,,,,­
