,西　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4D,4,3N,4,3,4,5,4,36
1,Blue,483,375,361,200,365,159,331,475,430,3179
2,White,466,354,351,187,341,147,299,465,405,3015
3,Red,432,322,292,141,292,96,289,409,325,2598
4,Hdcp,16,8,14,6,2,12,18,10,4,­
