,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,3,4,5,3N,4,4,4,36
1,BLUE,423,582,219,354,500,151,409,443,415,3496
2,WHITE,384,556,191,320,478,118,386,391,383,3207
3,Red,322,498,139,280,414,106,267,355,327,2708
4,Hdcp,12,6,16,2,8,18,4,10,14,­
