,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3,4,3N,4D,4,5,36
1,Blue,545,386,338,212,362,172,326,362,524,3227
2,White,516,358,308,190,341,154,305,340,498,3010
3,Red,412,279,284,124,341,138,305,340,399,2622
4,Hdcp,8,2,16,4,10,14,18,6,12,­
