,音羽,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5,3N,4,5D,4,36
1,Blue,462,440,457,174,550,182,410,558,343,3576
2,White,442,420,435,157,518,157,390,533,314,3366
3,Gold,390,394,356,142,486,142,363,509,283,3065
4,Red,390,356,325,98,397,104,256,495,283,2704
5,Hdcp,5,8,2,6,3,9,1,7,4,­
