,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3N,5D,3,4,4,36
1,Back T.,566,402,368,468,215,490,175,358,402,3444
2,Regular,534,383,336,418,188,473,150,330,363,3175
3,Ladies,440,350,308,358,147,409,110,303,342,2767
4,Hdcp,5,2,8,1,7,4,9,6,3,­
