,御所ノ入,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4D,5.0,4.0,3N,4.0,3.0,4.0,4.0,36
1,Back T.,555.0,372,563.0,389.0,173,398.0,154.0,385.0,356.0,3345
2,Reg.,540.0,363,518.0,368.0,159,378.0,142.0,368.0,338.0,3174
3,Hdcp,,,,,,,,,,­
