,榛名,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,4,3N,4,4,3N,4,5D,36
1,Back T.,557,369,358,161,313,395,172,457,568,3350
2,Reg,534,290,319,148,301,381,158,447,536,3114
3,LADYS,420,265,267,148,262,355,143,328,408,2596
4,Hdcp,5,2,8,7,4,1,9,3,6,­
